4615,1415
4605,1425
4595,1435
4585,1445
4575,1455
4565,1465
4555,1475
4545,1485
4535,1495
4525,1505
4515,1515
4505,1525
4495,1535
4485,1545
4475,1555
4465,1565
4455,1575
4445,1585
4435,1595
4425,1605
4415,1615
4405,1625
4405,1635
4405,1645
4395,1655
4395,1665
4395,1675
4395,1685
4395,1695
4395,1705
4385,1715
4385,1725
4385,1735
4385,1745
4385,1755
4385,1765
4385,1775
4395,1785
4395,1795
4395,1805
4395,1815
4395,1825
4395,1835
4395,1845
4395,1855
4395,1865
4395,1875
4395,1885
4395,1895
4395,1905
4395,1915
4395,1925
4395,1935
4395,1945
4395,1955
4395,1965
4395,1975
4395,1985
4395,1995
4395,2005
4395,2015
4395,2025
4395,2035
4395,2045
4395,2055
4395,2065
4395,2075
4395,2085
